Designator,Mid X,Mid Y,Layer,Rotation
C1001,153.7025,-92.2445,T,270.0
C1002,162.082,-91.899,T,0.0
C1003,143.333,-100.078,T,270.0
C1004,140.857,-89.192,T,0.0
C1005,156.65,-113.65,T,180.0
C1006,172.55,-106.05,T,0.0
C1007,154.85,-96.12,T,90.0
C1008,170.761,-87.872,T,270.0
C1009,163.539,-88.623,T,270.0
C1010,149.44,-70.71,T,270.0
C1011,149.36,-76.53,T,270.0
C1012,162.23,-64.6,T,0.0
C1013,121.16,-64.44,T,90.0
C1014,170.55,-63.3,T,180.0
C1015,169.95,-61.9,T,270.0
C1016,143.309,-103.705,T,90.0
C1017,104.275,-63.846,T,180.0
C1018,93.229,-73.645,T,90.0
C1019,93.254,-81.385,T,90.0
C1020,166.2,-100.5,T,0.0
C1021,91.725,-89.875,T,90.0
C1022,148.802,-86.335,T,0.0
C1023,126.238,-91.7575,T,180.0
C1024,171.831,-93.091,T,90.0
C1025,114.1,-58.55,T,180.0
C1026,94.3,-86.85,T,0.0
C1027,93.207,-68.715,T,90.0
C1028,94.684,-65.955,T,180.0
C202,170.45,-64.55,T,180.0
C203,166.95,-64.7,T,180.0
C301,94.2,-92.75,T,90.0
C302,95.8,-100.6,T,90.0
C303,102.25,-94.95,T,180.0
C304,99.1,-86.7,T,180.0
C305,101.45,-86.7,T,90.0
C306,103.05,-97.3,T,180.0
C307,95.5,-96.85,T,90.0
C308,92.05,-97.35,T,180.0
C402,156.5,-96.5,T,270.0
C501,166.75,-102.15,T,180.0
C502,170.35,-108.4,T,90.0
C503,170.55,-104.6,T,270.0
C601,113.661,-105.644,T,270.0
C602,113.97,-99.22,T,180.0
C603,119.9515,-100.0125,T,270.0
C604,119.268,-87.599,T,0.0
C605,119.5275,-93.844,T,0.0
C701,148.926,-90.727,T,0.0
C702,143.29,-90.804,T,180.0
C703,146.953,-90.854,T,180.0
C704,151.108,-92.508,T,90.0
C705,141.385,-93.1915,T,90.0
C706,145.025,-93.2415,T,90.0
C801,145.107,-97.266,T,270.0
C802,151.203,-95.973,T,0.0
C803,146.885,-99.529,T,180.0
C901,130.71,-104.56,T,90.0
C902,138.318,-110.314,T,270.0
C903,139.35,-110.35,T,270.0
C904,128.905,-110.187,T,180.0
C905,132.857,-110.568,T,180.0
C906,138.65,-113.22,T,90.0
D1101,149.7,-81.4,T,270.0
D1102,154.1,-99.0,T,90.0
D201,127.26,-89.9,T,0.0
D301,92.754,-102.773,T,270.0
D302,96.8,-89.209,T,180.0
D303,98.95,-99.6,T,180.0
D501,175.2,-104.9,T,180.0
D502,175.2,-102.8,T,180.0
D601,123.317,-102.879,T,270.0
D602,117.745,-101.1305,T,270.0
D901,137.81,-108.13,T,0.0
D902,128.42,-102.7,T,90.0
F301,97.12,-105.05,T,270.0
F401,171.5135,-100.584,T,90.0
F601,118.0,-105.53,T,0.0
FB301,100.3,-102.6,T,270.0
FB401,169.3545,-99.8855,T,270.0
FB601,115.51,-101.7975,T,90.0
FB701,148.949,-93.0915,T,90.0
FB702,143.29,-93.0415,T,90.0
FB703,146.93,-93.0915,T,90.0
FB801,147.3445,-97.37,T,180.0
FB902,130.7,-107.29,T,90.0
FB903,136.0805,-110.314,T,0.0
FB904,140.41,-113.0275,T,90.0
G***,162.25,-100.15,B,180.0
G***,113.05,-97.1,B,180.0
J401,174.5,-98.75,T,90.0
J701,148.19,-103.42,T,0.0
L301,102.2,-91.05,T,90.0
L302,98.9,-96.7,T,180.0
Q401,155.12,-102.46,T,270.0
Q402,158.72,-102.46,T,270.0
Q901,138.22,-105.13,T,270.0
R1103,149.9,-78.64,T,0.0
R201,166.95,-63.75,T,0.0
R202,167.7,-88.5,T,270.0
R203,165.25,-88.496,T,270.0
R204,161.938,-88.496,T,90.0
R205,159.906,-88.496,T,90.0
R206,156.22,-88.5,T,90.0
R207,157.92,-88.5,T,90.0
R208,154.29,-88.49,T,90.0
R209,134.1,-91.44,T,90.0
R210,135.763,-91.44,T,90.0
R302,93.328,-88.7505,T,0.0
R303,93.3,-89.75,T,180.0
R304,91.25,-95.3,T,180.0
R401,162.7,-100.55,T,180.0
R402,164.05,-102.25,T,180.0
R501,172.55,-104.9,T,0.0
R502,172.55,-103.4,T,0.0
R601,111.9,-103.5,T,180.0
R602,111.9,-101.5,T,180.0
R701,143.313,-89.661,T,180.0
R702,146.93,-89.711,T,0.0
R801,148.663,-95.87,T,180.0
R802,151.0275,-97.751,T,180.0
R901,138.303,-92.837,T,180.0
R902,131.064,-93.599,T,180.0
R903,134.05,-103.51,T,0.0
R904,134.05,-107.01,T,0.0
R905,128.46,-107.29,T,90.0
REF**,147.32,-83.82,T,0.0
REF**,99.06,-83.82,T,0.0
REF**,99.06,-68.58,T,0.0
REF**,147.32,-68.58,T,0.0
REF**,101.6,-81.28,T,0.0
REF**,104.14,-81.28,T,0.0
REF**,104.14,-78.74,T,0.0
REF**,104.14,-73.66,T,0.0
REF**,99.06,-73.66,T,0.0
REF**,101.6,-73.66,T,0.0
REF**,101.6,-71.12,T,0.0
REF**,101.6,-78.74,T,0.0
REF**,101.6,-76.2,T,0.0
REF**,99.06,-78.74,T,0.0
REF**,99.06,-76.2,T,0.0
REF**,99.06,-81.28,T,0.0
REF**,99.06,-71.12,T,0.0
REF**,104.14,-76.2,T,0.0
REF**,104.14,-71.12,T,0.0
REF**,104.14,-83.82,T,0.0
REF**,101.6,-83.82,T,0.0
REF**,104.14,-68.58,T,0.0
REF**,101.6,-68.58,T,0.0
REF**,109.22,-68.58,T,0.0
REF**,106.68,-68.58,T,0.0
REF**,147.32,-71.12,T,0.0
REF**,144.78,-68.58,T,0.0
REF**,147.32,-76.2,T,0.0
REF**,147.32,-78.74,T,0.0
REF**,147.32,-81.28,T,0.0
REF**,147.32,-73.66,T,0.0
REF**,124.46,-68.58,T,0.0
REF**,114.3,-68.58,T,0.0
REF**,132.08,-68.58,T,0.0
REF**,127.0,-68.58,T,0.0
REF**,129.54,-68.58,T,0.0
REF**,119.38,-68.58,T,0.0
REF**,139.7,-68.58,T,0.0
REF**,137.16,-68.58,T,0.0
REF**,116.84,-68.58,T,0.0
REF**,111.76,-68.58,T,0.0
REF**,134.62,-68.58,T,0.0
REF**,121.92,-68.58,T,0.0
REF**,142.24,-68.58,T,0.0
REF**,121.92,-83.82,T,0.0
REF**,109.22,-83.82,T,0.0
REF**,111.76,-83.82,T,0.0
REF**,127.0,-83.82,T,0.0
REF**,134.62,-83.82,T,0.0
REF**,119.38,-83.82,T,0.0
REF**,137.16,-83.82,T,0.0
REF**,139.7,-83.82,T,0.0
REF**,142.24,-83.82,T,0.0
REF**,144.78,-83.82,T,0.0
REF**,124.46,-83.82,T,0.0
REF**,106.68,-83.82,T,0.0
REF**,114.3,-83.82,T,0.0
REF**,116.84,-83.82,T,0.0
REF**,132.08,-83.82,T,0.0
REF**,129.54,-83.82,T,0.0
REF**,114.3,-73.66,T,0.0
REF**,111.76,-71.12,T,0.0
REF**,111.76,-76.2,T,0.0
REF**,124.46,-76.2,T,0.0
REF**,106.68,-71.12,T,0.0
REF**,106.68,-81.28,T,0.0
REF**,106.68,-76.2,T,0.0
REF**,106.68,-78.74,T,0.0
REF**,109.22,-76.2,T,0.0
REF**,109.22,-78.74,T,0.0
REF**,109.22,-71.12,T,0.0
REF**,109.22,-73.66,T,0.0
REF**,106.68,-73.66,T,0.0
REF**,114.3,-76.2,T,0.0
REF**,114.3,-78.74,T,0.0
REF**,111.76,-73.66,T,0.0
REF**,114.3,-81.28,T,0.0
REF**,111.76,-78.74,T,0.0
REF**,124.46,-78.74,T,0.0
REF**,116.84,-81.28,T,0.0
REF**,116.84,-76.2,T,0.0
REF**,116.84,-78.74,T,0.0
REF**,119.38,-76.2,T,0.0
REF**,119.38,-78.74,T,0.0
REF**,119.38,-71.12,T,0.0
REF**,119.38,-73.66,T,0.0
REF**,116.84,-73.66,T,0.0
REF**,116.84,-71.12,T,0.0
REF**,119.38,-81.28,T,0.0
REF**,121.92,-76.2,T,0.0
REF**,121.92,-78.74,T,0.0
REF**,121.92,-81.28,T,0.0
REF**,121.92,-73.66,T,0.0
REF**,121.92,-71.12,T,0.0
REF**,124.46,-81.28,T,0.0
REF**,124.46,-73.66,T,0.0
REF**,114.3,-71.12,T,0.0
REF**,111.76,-81.28,T,0.0
REF**,109.22,-81.28,T,0.0
REF**,124.46,-71.12,T,0.0
REF**,134.62,-76.2,T,0.0
REF**,134.62,-78.74,T,0.0
REF**,127.0,-81.28,T,0.0
REF**,127.0,-76.2,T,0.0
REF**,127.0,-78.74,T,0.0
REF**,129.54,-76.2,T,0.0
REF**,129.54,-78.74,T,0.0
REF**,129.54,-71.12,T,0.0
REF**,129.54,-73.66,T,0.0
REF**,127.0,-73.66,T,0.0
REF**,127.0,-71.12,T,0.0
REF**,129.54,-81.28,T,0.0
REF**,132.08,-76.2,T,0.0
REF**,132.08,-78.74,T,0.0
REF**,132.08,-81.28,T,0.0
REF**,132.08,-73.66,T,0.0
REF**,132.08,-71.12,T,0.0
REF**,134.62,-81.28,T,0.0
REF**,134.62,-73.66,T,0.0
REF**,134.62,-71.12,T,0.0
REF**,139.7,-76.2,T,0.0
REF**,139.7,-78.74,T,0.0
REF**,137.16,-76.2,T,0.0
REF**,137.16,-78.74,T,0.0
REF**,137.16,-81.28,T,0.0
REF**,137.16,-73.66,T,0.0
REF**,137.16,-71.12,T,0.0
REF**,139.7,-81.28,T,0.0
REF**,139.7,-73.66,T,0.0
REF**,139.7,-71.12,T,0.0
REF**,142.24,-76.2,T,0.0
REF**,142.24,-78.74,T,0.0
REF**,142.24,-81.28,T,0.0
REF**,142.24,-73.66,T,0.0
REF**,142.24,-71.12,T,0.0
REF**,144.78,-73.66,T,0.0
REF**,144.78,-71.12,T,0.0
REF**,144.78,-78.74,T,0.0
REF**,144.78,-76.2,T,0.0
REF**,144.78,-81.28,T,0.0
SW501,165.25,-105.95,T,180.0
SW502,165.25,-112.0,T,180.0
U201,162.317999,-76.08,T,270.0
U301,97.325,-92.375,T,270.0
U401,162.6815,-96.314,T,270.0
U402,170.8785,-96.4565,T,0.0
U602,112.776,-92.71,T,270.0
U603,119.502,-96.384,T,270.0
U701,143.07,-96.5,T,270.0
U801,150.853,-99.733,T,90.0
U901,138.303,-98.171,T,270.0
U902,135.001,-98.171,T,90.0
